Number,Exclusion,Plot,Site_Text,Trt,Block,Block_Unique,Filter,year,site_name,continent,country,elevation,latitude,longitude,RAIN_PET,MAT_v2,MAP_v2,AI,PET,N_Dep,N,P,K,Exclose,first_nutrient_year,first_fenced_year,year_trt,sum_INT_cover,sum_NAT_cover,sum_UNK_cover,total_cover,INT_rich,NAT_rich,UNK_rich,rich,site_richness,site_native_richness,site_introduced_richness,plot_beta,dead_mass,live_mass,total_mass,unsorted_mass,proportion_par,Ambient_PAR,Ground_PAR,pct_C,pct_N,ppm_P,ppm_K,ppm_Ca,ppm_Mg,ppm_S,ppm_Na,ppm_Zn,ppm_Mn,ppm_Fe,ppm_Cu,ppm_B,pH,PercentSand,PercentSilt,PercentClay,Classification,shannon,inverse_simpson,evenness,Single_AICc,Asym_AICc,weibull.AIC,LowestAIC,T_nmax,Nmax,Single_RMSE,Asymp_RMSE,Weibull_RMSE,single.k,single.k.div,asymp.k,asymp.A,Asymp_collapse,weibull.alpha,weibull.beta,weibull.mrt,weibull.half.life,weibull.quarter,weibull.tenth,weibull.div,Prop_Init_N_Mass_1yr,Fin_C_Mass_g,Prop_Init_C_Mass,Ground_PAR,Total_mass_mean,Ground_PAR_mean
14,,16,CBGB,N,2,2,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,1,0,0,0,2010,2010,0,1,115.5,2,119.5,1,7,1,10,94,48,15,9.4,413.1,131.95,545.05,NA,0.044905009,1158,52,0.394,0.043,56,115,746,108,18,28,2.4,24,101,2.5,0.4,6.7,NA,NA,NA,NA,1.388108591,2.813703758,0.602847901,-0.941767987,4.058232013,1.39948531,S,2.52,0.140220275,0.174222999,0.174222999,0.164916704,0.176749206,0.030353653,0.176749241,0,TRUE,1.585586806,5.317375335,4.771477738,4.219965557,2.42350388,1.286229613,0.027197519,1.171300751,1.05557904,0.218021112,126.7142857,767.5946429,52
16,,19,CBGB,NPK,2,2,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,1,1,1,0,2010,2010,0,0,108,0,108,0,8,0,8,94,48,15,11.75,582.55,203.05,785.6,NA,0.152667984,1012,154.5,0.668,0.066,50,78,750,123,21,26,1.8,22,104,2.1,0.4,6.1,NA,NA,NA,NA,1.010421864,1.774262245,0.485910204,-6.403673248,-1.438792568,-5.180989019,S,7,0.209052277,0.091388174,0.077087219,0.079100393,0.091476646,0.008351798,0.515404117,0.626930382,FALSE,0.586985421,21.21742177,32.86901179,11.36369868,2.540304202,0.458888616,0.006256872,1.234331176,3.09129612,0.638481623,117.8571429,976.5892857,154.5
17,,20,CBGB,PK,2,2,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,0,1,1,0,2010,2010,0,0,135,0,135,0,7,0,7,94,48,15,13.4286,507.95,164.05,672,NA,0.098533456,1091,107.5,0.558,0.057,57,135,1173,127,22,26,3.2,34,115,2,0.6,7.1,NA,NA,NA,NA,1.238410728,2.331457081,0.63641722,0.191285044,6.857951713,0.55787705,S,2.63,0.138802698,0.176728016,0.176728016,0.140415299,0.100946806,0.031232792,0.100947352,0,TRUE,6.449011582,5.66091597,5.272490983,5.348163834,4.666425775,3.993380352,0.019716456,1.190075512,1.54151494,0.319024561,117.2142857,605.9073571,107.5
18,,21,CBGB,NP,2,2,TRUE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,1,1,0,0,2010,2010,0,0,103,0,103,0,3,0,3,94,48,15,31.3333,843.75,248.9,1092.65,NA,0.057414105,1106,63.5,0.695,0.063,48,81,900,118,17,27,2,23,101,1.6,0.4,6.7,NA,NA,NA,NA,0.326877924,1.17135917,0.297537109,-0.178317435,4.821682569,-0.904853233,W,2.83,0.167556611,0.176088199,0.176088199,0.121307837,0.149271904,0.031007054,0.149274811,0,TRUE,4.042497771,5.76034164,5.224331666,5.261056279,4.232515139,3.30130994,0.014715591,1.216957929,0.90855718,0.187654964,51.42857143,518.2285714,63.5
19,,22,CBGB,K,2,2,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,0,0,1,0,2010,2010,0,1,114,0,116,1,6,0,8,94,48,15,11.75,757.75,373.25,1131,NA,0.028286853,1255,35.5,0.619,0.058,49,86,694,125,21,26,2.1,22,92,2,0.4,6.5,NA,NA,NA,NA,0.863149781,1.621595565,0.415087303,-4.372337297,0.627662701,-3.492013779,S,2.38,0.111218438,0.130902832,0.130902832,0.109707266,0.225349378,0.017135551,0.225348314,0,TRUE,1.598435009,4.452527471,3.992382062,3.540178158,2.042189331,1.089387132,0.012035684,0.899631068,0.434409,0.089723583,149.4285714,354.9046429,35.5
20,,24,CBGB,Control,2,2,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,0,0,0,0,2010,2010,0,2,91.5,0.5,94,1,6,1,8,94,48,15,11.75,355.75,67.5,423.25,NA,0.501710864,1169,586.5,0.5,0.052,56,94,771,107,19,26,1.9,21,90,1.7,0.4,6.4,90,7.1,2.8,Sand,0.77544967,1.533628395,0.372912464,-23.04813402,-18.04813402,-20.34493788,S,2.38,0.106410838,0.02760892,0.02760892,0.026934426,0.131036664,0.000762252,0.131036664,0,TRUE,1.051569836,7.460458534,7.313096562,5.26498369,2.281464282,0.877752502,0.000725463,0.846922226,1.775136,0.367006285,365.7142857,272.3947143,586.5
21,Removed third removal that was >1,25,CBGB,NP,3,3,TRUE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,1,1,0,0,2010,2010,0,0,102.5,0,103.5,0,6,0,7,94,48,15,13.4286,339.9,170.35,510.25,NA,0.124284546,1223,152,0.665,0.063,60,81,465,94,17,24,1,21,100,1.8,0.5,5.7,NA,NA,NA,NA,0.417795165,1.184819577,0.214704243,-4.546416021,3.186412109,-5.422353288,W,4.91,0.157474381,0.05823078,0.028594625,0.036056646,0.080373641,0.003390824,0.558460277,0.700771566,FALSE,0.563592723,33.34644201,54.71946185,17.40288278,3.655794257,0.615115472,0.001300082,1.007799353,3.52615514,0.729026451,100.2142857,835.1857143,152
23,,27,CBGB,PK,3,3,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,0,1,1,0,2010,2010,0,2,106,0,108,1,4,0,5,94,48,15,18.8,718.8,192.1,910.9,NA,0.036971831,1136,42,0.727,0.072,74,95,527,112,18,28,1.2,24,112,1.9,0.3,5.7,NA,NA,NA,NA,0.528025094,1.285714286,0.328080437,0.746096877,12.74609688,-2.188336617,W,2.37,0.118197317,0.16110863,0.16110863,0.086944907,0.113242057,0.025955991,0.113241969,0,TRUE,10.06570254,4.7240351,4.495459076,4.555117257,4.174049386,3.777624954,0.007559417,0.89002103,1.73953095,0.360005008,291.9285714,446.7762143,42
24,,28,CBGB,NPK,3,3,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,1,1,1,0,2010,2010,0,1,102,1,104,1,5,1,7,94,48,15,13.4286,456.4,218.25,674.65,NA,0.144726083,1223,177,0.889,0.083,53,110,608,138,22,28,1.1,28,108,2,0.3,5.6,NA,NA,NA,NA,0.620294593,1.328746929,0.318768363,-7.217698771,-3.928249344,-6.086149244,S,2.37,0.126990717,0.087099128,0.073404982,0.072255021,0.177341693,0.007586258,0.373805527,0.306237157,FALSE,0.733226996,6.204673462,7.52994959,3.763840941,1.13439875,0.288279446,0.005220788,0.983984732,1.3965152,0.288727092,92.85714286,799.9428571,177
25,,29,CBGB,N,3,3,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,1,0,0,0,2010,2010,0,1,103,0,104,1,5,0,6,94,48,15,15.6667,734.95,291.75,1026.7,NA,0.032671629,1209,39.5,0.97,0.092,46,110,674,136,19,25,1.4,30,102,2.7,0.3,5.6,NA,NA,NA,NA,1.014647119,2.015654119,0.566285339,-8.9967836,-3.9967836,-7.305012141,S,2.84,0.111798211,0.089039917,0.089039917,0.079843282,0.200969555,0.007928107,0.200970075,0,TRUE,1.296448635,4.868347315,4.498783353,3.669477214,1.862174927,0.858096131,0.00637495,0.79734319,0.85020327,0.17577805,63.78571429,1076.342857,39.5
26,,30,CBGB,NK,3,3,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,1,0,1,0,2010,2010,0,1,104,0,105,1,6,0,7,94,48,15,13.4286,638.7,406.9,1045.6,NA,0.052838428,1145,60.5,1.128,0.104,35,95,710,143,20,26,1.1,36,106,2.2,0.3,5.5,NA,NA,NA,NA,0.456187285,1.217895609,0.23443389,0.144658726,6.81132539,2.36692455,S,3.08,0.129985359,0.175905916,0.175905916,0.168259798,0.135361607,0.030942891,0.135359365,0,TRUE,1.54614848,6.297173136,5.665137333,4.968171395,2.813115238,1.469077008,0.02831136,0.99672812,1.56883077,0.324353037,94.71428571,709.2728571,60.5
28,,32,CBGB,P,3,3,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,0,1,0,0,2010,2010,0,0,106,0,106,0,6,0,6,94,48,15,15.6667,532.4,96.05,628.45,NA,0.076388889,1152,88,0.532,0.055,59,77,441,86,16,26,2.1,19,96,3.8,0.5,5.5,NA,NA,NA,NA,0.480060953,1.2401766,0.267927119,-6.790684138,-0.124017471,-4.435567333,S,3.64,0.110829534,0.087918918,0.087918918,0.085222034,0.157679125,0.007729736,0.157679171,0,TRUE,1.16072696,6.121489359,5.810298329,4.463994068,2.092641116,0.880776469,0.007262795,0.852126214,1.59336344,0.329096028,205.6428571,312.7403571,88
29,,33,CBGB,Control,3,3,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,0,0,0,0,2010,2010,0,1,103,0,104,1,5,0,6,94,48,15,15.6667,679.05,231.7,910.75,NA,0.069191551,1373,95,0.657,0.066,71,85,456,91,19,25,1.9,19,108,3.3,0.5,5.6,88,7.1,4.8,Sand,0.574329624,1.324840764,0.320539466,-12.10709371,-7.907093708,-13.5391975,W,0,0.0884472,0.083431367,0.083431367,0.059928955,0.312678361,0.006960793,0.31267886,0,TRUE,1.377887724,3.32642385,3.039585515,2.549511041,1.346741804,0.649662041,0.00359148,0.954122977,0.0521037,0.010761588,118.2142857,613.6546429,95
30,,35,CBGB,K,3,3,FALSE,2009,Chichaqua Bottoms,North America,US,275,41.78506667,-93.38538333,-152,9.258333459,871,0.849,1007,17.9966,0,0,1,0,2010,2010,0,1,100,0,101,1,5,0,6,94,48,15,15.6667,626.75,177.05,803.8,NA,0.032324059,1222,39.5,0.785,0.079,42,115,686,142,24,25,2.3,29,101,3.7,0.3,5.8,NA,NA,NA,NA,0.646283261,1.395676563,0.360697556,-1.196766681,3.803233317,-1.026563942,S,2.44,0.115604299,0.170559838,0.170559838,0.134729592,0.197916967,0.029090658,0.19791607,0,TRUE,2.617617042,4.921314651,4.372052757,4.278309362,3.057533982,2.083137046,0.018152063,0.91961165,0.52451964,0.108443525,164.0714286,416.9190714,39.5
31,,1,Sierra,P,1,4,FALSE,2008,Sierra Foothills REC,North America,US,197.195,39.23550963,-121.2836963,-405,16.30833341,936,0.6932,1340,3.3584,0,1,0,0,2008,2008,1,123.5,0,0,123.5,7,0,0,7,114,39,41,16.2857,179,247.5,426.5,NA,NA,NA,NA,2.409,0.211,22,163,2803,374,31,36,6,164,227,10.9,0.5,6.1,NA,NA,NA,NA,1.266347154,2.631853673,0.650773703,-6.37551928,-1.449460133,-4.611375504,S,0,0.1491042,0.091645831,0.077005029,0.083736854,0.319453351,0.008398958,0.547558398,0.223469039,FALSE,0.776710324,3.228424346,3.738612411,2.013985664,0.649158835,0.178117541,0.007011861,1.607334413,1.713422464,0.354070084,124.9166667,447.65,NA
32,,2,Sierra,K,1,4,FALSE,2008,Sierra Foothills REC,North America,US,197.195,39.23550963,-121.2836963,-405,16.30833341,936,0.6932,1340,3.3584,0,0,1,0,2008,2008,1,110,0,0,110,4,0,0,4,114,39,41,28.5,200,270,470,NA,NA,NA,NA,3.015,0.247,38,173,2871,384,34,34,23.9,164,238,10.6,0.4,6,NA,NA,NA,NA,1.117803962,2.602150538,0.806325117,-10.73335354,-10.96574277,-12.0745229,W,3.34,0.151340824,0.059272654,0.029732552,0.039700527,0.242039481,0.003513248,0.508358821,0.316162131,FALSE,0.718394614,4.633246316,5.725360988,2.781734045,0.817892072,0.202050636,0.001576132,1.169679001,1.972584544,0.407828429,281.4166667,322.6714286,NA
33,,3,Sierra,PK,1,4,FALSE,2008,Sierra Foothills REC,North America,US,197.195,39.23550963,-121.2836963,-405,16.30833341,936,0.6932,1340,3.3584,0,1,1,0,2008,2008,1,122,1,0,123,5,1,0,6,114,39,41,19,260,284.5,544.5,NA,NA,NA,NA,2.028,0.17,14,94,2748,512,29,100,4.3,136,207,8.4,0.4,6,NA,NA,NA,NA,1.268828757,3.091363238,0.708146813,-10.9431865,-12.05086763,-11.77940037,A,7,0.144348057,0.075708053,0.045509046,0.054992678,0.161860701,0.005731709,0.473896077,0.430046339,FALSE,0.651054698,7.984307435,10.88916577,4.547262789,1.177996352,0.251825981,0.003024195,1.425265924,2.1467801,0.444153965,116,377.4785714,NA
34,,4,Sierra,NP,1,4,FALSE,2008,Sierra Foothills REC,North America,US,197.195,39.23550963,-121.2836963,-405,16.30833341,936,0.6932,1340,3.3584,1,1,0,0,2008,2008,1,102,0.5,0,102.5,4,1,0,5,114,39,41,22.8,181.5,206.5,388,NA,NA,NA,NA,2.153,0.192,14,107,2415,501,27,44,2.8,105,215,7.3,0.3,6,NA,NA,NA,NA,1.189211659,3.08621576,0.738898748,-3.11930726,-3.670323128,-5.43869509,W,4.03,0.129785886,0.145310739,0.091495503,0.093278734,0.151625092,0.021115211,1.239535635,0.547036775,FALSE,0.278388162,26.71826145,353.5607705,7.162032,0.304204195,0.008244472,0.008700922,1.250505444,2.0197178,0.417991139,328.25,367.0285714,NA
35,,5,Sierra,Control,1,4,FALSE,2008,Sierra Foothills REC,North America,US,197.195,39.23550963,-121.2836963,-405,16.30833341,936,0.6932,1340,3.3584,0,0,0,0,2008,2008,1,123,0,0,123,5,0,0,5,114,39,41,22.8,216,246.5,462.5,NA,NA,NA,NA,2.14,0.183,20,119,3001,500,34,40,3.9,136,183,7.2,0.3,6,52,33.1,14.8,Loam,1.288466629,3.247263361,0.800569329,-11.88388938,-11.75681498,-12.60051554,W,2.15,0.116267006,0.069999817,0.046637992,0.05135559,0.179669309,0.004899974,0.42306896,0.365071658,FALSE,0.67997908,6.698125686,8.723964594,3.907202197,1.07204333,0.244720682,0.002637397,1.194979261,2.2533042,0.46586673,252.6666667,337.9785714,NA
38,,8,Sierra,N,1,4,FALSE,2008,Sierra Foothills REC,North America,US,197.195,39.23550963,-121.2836963,-405,16.30833341,936,0.6932,1340,3.3584,1,0,0,0,2008,2008,1,115.5,0,0,115.5,7,0,0,7,114,39,41,16.2857,286.5,274.5,561,NA,NA,NA,NA,2.204,0.193,14,136,3197,564,31,35,2.9,126,181,8.6,0.3,6,NA,NA,NA,NA,1.414301467,3.283147727,0.726807179,-11.99807741,-12.52245974,-15.45853485,W,0,0.1189786,0.069336881,0.043755257,0.040471803,0.202040698,0.004807603,0.45823689,0.336579548,FALSE,0.636759547,5.867014825,8.205221072,3.299448003,0.829212741,0.17123013,0.001637967,1.283608404,2.0028294,0.413874563,342.3333333,349.5785714,NA
39,,9,Sierra,NK,1,4,FALSE,2008,Sierra Foothills REC,North America,US,197.195,39.23550963,-121.2836963,-405,16.30833341,936,0.6932,1340,3.3584,1,0,1,0,2008,2008,1,119,0.5,0,119.5,5,1,0,6,114,39,41,19,224.5,294,518.5,NA,NA,NA,NA,3.131,0.217,20,170,2971,468,29,34,3.1,122,194,9.1,0.3,6,NA,NA,NA,NA,1.175636421,2.780828587,0.656135179,-2.435217143,-2.257176188,-5.669955689,W,5.25,0.121296887,0.135905759,0.071029773,0.075325685,0.214733997,0.018470375,1.159464339,0.480397058,FALSE,0.305783986,11.46943989,97.61832822,3.459365982,0.194999832,0.007301681,0.005673959,0.998088556,2.109228395,0.436079308,158.4166667,387.3928571,NA
40,,10,Sierra,NPK,1,4,FALSE,2008,Sierra Foothills REC,North America,US,197.195,39.23550963,-121.2836963,-405,16.30833341,936,0.6932,1340,3.3584,1,1,1,0,2008,2008,1,125,0.5,0,125.5,6,1,0,7,114,39,41,16.2857,222,329.5,551.5,NA,NA,NA,NA,2.003,0.174,17,105,2442,461,29,37,3,138,206,7.1,0.3,5.9,NA,NA,NA,NA,1.400097425,3.279081872,0.719507746,-15.48516224,-15.85205727,-22.93501136,W,2.74,0.130786682,0.05185164,0.033153401,0.021705502,0.179270983,0.002688593,0.337159457,0.292418838,FALSE,0.697278822,6.493899605,8.250843686,3.839069358,1.087695272,0.257562397,0.000471129,1.203958932,1.66657855,0.344493322,95.5,525.95,NA
42,,12,Sierra,NP,2,5,FALSE,2008,Sierra Foothills REC,North America,US,197.195,39.23550963,-121.2836963,-405,16.30833341,936,0.6932,1340,3.3584,1,1,0,0,2008,2008,1,85.5,0,0,85.5,4,0,0,4,114,39,41,28.5,50.65,44.05,94.7,NA,NA,NA,NA,1.932,0.153,15,64,1622,398,27,37,8.4,147,218,3.5,0.4,5.9,NA,NA,NA,NA,0.904688914,2.073682718,0.652595105,-6.867582184,-2.858926219,-4.146411029,S,2.08,0.12717095,0.121301012,0.119654417,0.117222414,0.162249367,0.014713936,0.242448549,0.211186937,FALSE,0.781129045,6.776037734,7.813139407,4.238389421,1.374918491,0.380022931,0.013741094,1.258423311,1.6333666,0.337966081,82.75,348.3428571,NA
43,,13,Sierra,Control,2,5,FALSE,2008,Sierra Foothills REC,North America,US,197.195,39.23550963,-121.2836963,-405,16.30833341,936,0.6932,1340,3.3584,0,0,0,0,2008,2008,1,91.5,5,0,96.5,5,1,0,6,114,39,41,19,11.55,72.3,83.85,NA,NA,NA,NA,2.231,0.173,20,88,1747,402,27,54,2.8,117,165,3.2,0.3,6,28,49.1,22.8,Loam,1.20680481,2.668075353,0.673530588,-22.43017641,-18.39220208,-19.25097667,S,1.25,0.113083428,0.039911372,0.03945213,0.039852118,0.171186936,0.001592918,0.192095257,0.069198274,FALSE,0.985070279,5.868398601,5.906558492,4.045131248,1.656653522,0.597565069,0.001588191,1.196660194,1.62737205,0.336489994,67.91666667,303.1,NA
